,Purchaser Name
480,INORBIT MALLS INDIA PRIVATE LIMITED 
481,INOX AIR PRODUCTS LTD 
482,INOX LEISURE LTD 
483,INTAS PHARMACEUTICALS LIMITED 
484,INTERGLOBE AIR TRANSPORT LIMITED 
485,INTERGLOBE AVIATION LIMITED 
486,INTERGLOBE REAL ESTATE VENTURES PVT LTD 
487,INTERNATIONAL TRADING CORPORATION 
488,IPCA LABORATORIES LIMITED 
489,IRA BLOSSOM FIELDS 
490,IRB MP EXPRESSWAY PRIVATE LIMITED 
491,ISHAN TECHNICAL PLANT SERVICES PVT LTD 
492,ISHANI BHAVIK AJMERA 
493,ISTAMSETTY SONY 
494,ITC LIMITED 
495,IVL DHUNSERI PETROCHEM INDUSTRIES PRIVAT E LIMITED 
496,J B ENTERPRISE 
497,J K CEMENT LIMITED 
498,J K CEMENT LTD. 
499,J S K HOTELS P LTD 
500,J.K.CEMENT LTD. 
501,JAI BHARAT TECHNICAL SERVICES PVT LTD 
502,JAI GANESH ISPAT AND FERRO ALLOYS PVT LTD 
503,JAI SUSPENSION SYSTEMS L L P 
504,JAI SUSPENSION SYSTEMS LLP 
505,JAINENDRA P SHAH 
506,JAINENDRA PRAVINCHANDRA SHAH 
507,JANAM ENTERPRISES 
508,JASWANT KUMAR SETHIA 
509,JAY USHIN LTD 
510,JAYANTA KUMAR DAS 
511,JBM INDUSTRIES LIMITED 
512,JINDAL HOUSE 
513,JINDAL POLY FILMS LIMITED 
514,JINDAL SAW LIMITED 
515,JINDAL STAINLESS LTD 
516,JINDAL STEEL AND POWER LIMITED 
517,JIT INDUSTRIAL PARK LLP 
518,JK LAKSHMI CEMENT LIMITED 
519,JK PAPER LIMITED 
520,JMC PROJECTS INDIA LTD 
521,JMS MINING PRIVATE LIMITED 
522,JNS INSTRUMENTS LTD 
523,JOSYULA VENKATESH 
524,JUBILANT LIFE SCIENCES LIMITED 
525,JUPITER MERCANTILES PVT LTD 
526,JWIL INFRA LTD. (FORM. JITF WATER 
527,JYOTI LADHA 
528,JYOTSNA AGGARWAL 
529,K AMISH KUMAR TRADING PVT LTD 
530,K B DEALERS PRIVATE LIMITED 
531,K D LIQUOR AND FERTILIZER PVT LTD 
532,K K RESOURCES PRIVATE LIMITED 
533,K M A COMMODITIES LLP 
534,K M DEALERS LLP 
535,K R RAJA JT 
536,K RAHEJA CORP PVT LTD 
537,KAL RADIO LIMITED 
538,KALPATARU PROJECTS INTERNATIONAL LIMITED 
539,KALPTARU INVESTMENTS PVT.LTD. PROP 
540,KAMAL MANOHAR 
541,KAMAL TRADING CORPORATION 
542,KAMLANG SAW & VENEER MILLS PVT LTD 
543,KAMNA COMMERCIAL PRIVATE LIMITED 
544,KAMNA CREDITS AND PROMOTORS PVT LTD 
545,KANHA VINCOM PRIVATE LIMITED 
546,KANWAR LAL PATNI 
547,KARTHIKEYA CONSTRUCTIONS 
548,KARTIKEYA INFRA 
